,gene,importance
4584,Edil3,9.178790846335682e-05
9083,Lox,9.170891876134516e-05
5732,Gas6,9.127540123887024e-05
15969,Tubb2b,9.077937680978797e-05
5530,Fosb,8.897546367076648e-05
7545,Gsn,8.88495296072393e-05
3481,Colec12,8.81239408387675e-05
10177,Myl9,8.800985480233187e-05
17287,mt-Nd1,8.78004711573013e-05
17285,mt-Co3,8.72866610810684e-05
4616,Efemp1,8.709406908246202e-05
13744,Sgms2,8.628243353521355e-05
7925,Hmgb2,8.540990608115835e-05
1528,Apoe,8.472100513174086e-05
12567,Ramp1,8.381222742375999e-05
10005,Mrps33,8.349317732530094e-05
8539,Junb,8.317548566583177e-05
3384,Cnn3,8.284086431011488e-05
3029,Cenpe,8.227434375789852e-05
13374,S100a4,8.181743490539224e-05
3477,Col9a2,8.125373399452825e-05
