"","x"
"1020","Klf6"
"1021","Klf7"
"1022","Klf9"
"1023","Klhdc8b"
"1024","Klhl24"
"1025","Kng1"
"1026","Kng2"
"1027","Knstrn"
"1028","Kpna2"
"1029","Krt18"
"1030","Krt19"
"1031","Krtap17-1"
"1032","Krtdap"
"1033","Ksr1"
"1034","Lama2"
"1035","Lama4"
"1036","Lamb1"
"1037","Lamc1"
"1038","Lamc3"
"1039","Laptm5"
"1040","Lars2"
"1041","Lbh"
"1042","Lbp"
"1043","Lcn2"
"1044","Lcp2"
"1045","Ldb2"
"1046","Ldhb"
"1047","Ldlr"
"1048","Lect1"
"1049","Lef1"
"1050","Lepr"
"1051","Lfng"
"1052","Lgals1"
"1053","Lgals3"
"1054","Lgals3bp"
"1055","Lgals4"
"1056","Lgals7"
"1057","Lgals9"
"1058","Lgi1"
"1059","Lgr4"
"1060","Lgr5"
"1061","Lgr6"
"1062","Lhfpl2"
"1063","Lifr"
"1064","Lig1"
"1065","Lima1"
"1066","Limch1"
"1067","Lin7a"
"1068","Lipc"
"1069","Lix1"
"1070","Lmcd1"
"1071","Lmnb1"
"1072","Lmo1"
"1073","Lmo2"
"1074","Lmo7"
"1075","Lmod1"
"1076","Lockd"
"1077","Lox"
"1078","Loxl1"
"1079","Loxl2"
"1080","Loxl3"
"1081","Loxl4"
"1082","Lpar3"
"1083","Lpar4"
"1084","Lpar6"
"1085","Lpl"
"1086","Lrg1"
"1087","Lrig3"
"1088","Lrp4"
"1089","Lrp5"
"1090","Lrrc15"
"1091","Lrrc17"
"1092","Lrrc8a"
"1093","Lrrn1"
"1094","Lrrn3"
"1095","Lrrn4cl"
"1096","Lsamp"
"1097","Lsmem1"
"1098","Lsp1"
"1099","Lsr"
"1100","Ltbp1"
"1101","Ltbp2"
"1102","Ltbp4"
"1103","Lum"
"1104","Lurap1l"
"1105","Ly6a"
"1106","Ly6c1"
"1107","Ly6d"
"1108","Ly6e"
"1109","Ly6h"
"1110","Ly6k"
"1111","Lypd1"
"1112","Lyz2"
"1113","M1ap"
"1114","Mab21l2"
"1115","Maf"
"1116","Mafb"
"1117","Maff"
"1118","Mamdc2"
"1119","Man1a"
"1120","Man2a1"
"1121","Maob"
"1122","Map1b"
"1123","Marc1"
"1124","Marcksl1"
"1125","Marf1"
"1126","Mark1"
"1127","Matn1"
"1128","Matn2"
"1129","Matn3"
"1130","Matn4"
"1131","Mcam"
"1132","Mcm3"
"1133","Mcm5"
"1134","Mcm6"
"1135","Mdfi"
"1136","Mdfic"
"1137","Mdk"
"1138","Mecom"
"1139","Medag"
"1140","Mef2c"
"1141","Meg3"
"1142","Megf6"
"1143","Meis2"
"1144","Meox1"
"1145","Meox2"
"1146","Mepe"
"1147","Mest"
"1148","Metrnl"
"1149","Mettl7a1"
"1150","Mfap2"
"1151","Mfap4"
"1152","Mfap5"
"1153","Mfge8"
"1154","Mfi2"
"1155","Mgll"
"1156","Mgmt"
"1157","Mgp"
"1158","Mgst1"
"1159","Mgst3"
"1160","Mia"
"1161","Mical3"
"1162","Milr1"
"1163","Mir143hg"
"1164","Mirg"
"1165","Mis18bp1"
"1166","Mki67"
"1167","Mkx"
"1168","Mlf1"
"1169","Mlip"
"1170","Mllt3"
"1171","Mme"
"1172","Mmp10"
"1173","Mmp11"
"1174","Mmp13"
"1175","Mmp16"
"1176","Mmp19"
"1177","Mmp2"
"1178","Mmp23"
"1179","Mmp3"
"1180","Mmp9"
"1181","Mn1"
"1182","Mnda"
"1183","Mndal"
"1184","Moxd1"
"1185","Mpdz"
"1186","Mpp6"
"1187","Mpped2"
"1188","Mrap"
"1189","Mrc2"
"1190","Mrps6"
"1191","Ms4a4d"
"1192","Msc"
"1193","Msi2"
"1194","Msmo1"
"1195","Mstn"
"1196","Msx1"
"1197","Msx2"
"1198","Mt1"
"1199","Mt2"
"1200","Mt3"
"1201","Mtss1"
"1202","Mustn1"
"1203","Mxd1"
"1204","Mxd3"
"1205","Mxi1"
"1206","Myc"
"1207","Myh11"
"1208","Myl1"
"1209","Myl9"
"1210","Mylip"
"1211","Mylk"
"1212","Myo10"
"1213","Myo1b"
"1214","Myoc"
"1215","Naalad2"
"1216","Nav2"
"1217","Nav3"
"1218","Nbl1"
"1219","Ncald"
"1220","Ncam1"
"1221","Ncmap"
"1222","Ndc80"
"1223","Ndnf"
"1224","Ndrg1"
"1225","Ndrg2"
"1226","Ndufa4l2"
"1227","Neat1"
"1228","Nedd9"
"1229","Nefl"
"1230","Nefm"
"1231","Negr1"
"1232","Nell2"
"1233","Nes"
"1234","Net1"
"1235","Nexn"
"1236","Nfatc1"
"1237","Nfatc2"
"1238","Nfatc4"
"1239","Nfia"
"1240","Nfib"
"1241","Nfil3"
"1242","Nfkbia"
"1243","Nfkbie"
"1244","Nfkbiz"
"1245","Ngf"
"1246","Ngfr"
"1247","Ngp"
"1248","Nhs"
"1249","Nid1"
"1250","Nid2"
"1251","Nim1k"
"1252","Ninj1"
"1253","Ninl"
"1254","Nkd1"
"1255","Nkd2"
"1256","Nnat"
"1257","Nnmt"
"1258","Nog"
"1259","Nol4l"
"1260","Nos1ap"
"1261","Notch1"
"1262","Notch2"
"1263","Notch3"
"1264","Notum"
"1265","Nov"
"1266","Npnt"
"1267","Nppc"
"1268","Npr1"
"1269","Npr3"
"1270","Npy"
"1271","Npy1r"
"1272","Nr1d1"
"1273","Nr2f1"
"1274","Nr2f2"
"1275","Nr4a1"
"1276","Nr4a2"
"1277","Nr4a3"
"1278","Nrarp"
"1279","Nrep"
"1280","Nrgn"
"1281","Nrip1"
"1282","Nrip2"
"1283","Nrk"
"1284","Nrn1"
"1285","Nrp1"
"1286","Nrp2"
"1287","Nrtn"
"1288","Nrxn1"
"1289","Nsg1"
"1290","Nt5e"
"1291","Ntf3"
"1292","Ntm"
"1293","Ntn1"
"1294","Ntn4"
"1295","Ntng1"
"1296","Ntrk2"
"1297","Ntrk3"
"1298","Nuak1"
"1299","Nuf2"
"1300","Nupr1"
"1301","Nusap1"
"1302","Oasl2"
"1303","Ociad2"
"1304","Odc1"
"1305","Ogn"
"1306","Olfml1"
"1307","Olfml2a"
"1308","Olfml2b"
"1309","Olfml3"
"1310","Olfr558"
"1311","Omd"
"1312","Ooep"
"1313","Opcml"
"1314","Osmr"
"1315","Osr1"
"1316","Osr2"
"1317","Ostn"
"1318","Otor"
"1319","Otos"
"1320","Otud1"
"1321","P2ry14"
"1322","P3h2"
"1323","P4ha2"
"1324","P4ha3"
"1325","Palld"
"1326","Palmd"
"1327","Pam"
"1328","Pamr1"
"1329","Pantr1"
"1330","Panx3"
"1331","Pappa"
"1332","Pappa2"
"1333","Papss2"
"1334","Pard6g"
"1335","Parm1"
"1336","Parp14"
"1337","Pawr"
"1338","Pax1"
"1339","Pax9"
"1340","Pbk"
"1341","Pbx1"
"1342","Pcdh10"
"1343","Pcdh11x"
"1344","Pcdh17"
"1345","Pcdh18"
"1346","Pcdh19"
"1347","Pcdh7"
"1348","Pcdh9"
"1349","Pcdhb17"
"1350","Pcdhb7"
"1351","Pcdhb9"
"1352","Pcolce2"
"1353","Pcp4"
"1354","Pcp4l1"
"1355","Pcsk1n"
"1356","Pcsk5"
"1357","Pcsk6"
"1358","Pde10a"
"1359","Pde1a"
"1360","Pde2a"
"1361","Pde3a"
"1362","Pde4b"
"1363","Pde5a"
"1364","Pdgfa"
"1365","Pdgfc"
"1366","Pdgfra"
"1367","Pdgfrb"
"1368","Pdgfrl"
"1369","Pdk4"
"1370","Pdlim1"
"1371","Pdlim2"
"1372","Pdlim3"
"1373","Pdlim4"
"1374","Pdlim5"
