,0
1006,Kdm7a
1007,Kdr
1008,Kera
1009,Khdrbs2
1010,Kif11
1011,Kif15
1012,Kif20a
1013,Kif20b
1014,Kif22
1015,Kif23
1016,Kif2c
1017,Kit
1018,Kitl
1019,Klf10
1020,Klf2
1021,Klf3
1022,Klf4
1023,Klf5
1024,Klf6
1025,Klf7
1026,Klf9
1027,Klhdc8b
1028,Klhl24
1029,Kng1
1030,Kng2
1031,Knstrn
1032,Kpna2
1033,Krt18
1034,Krt19
1035,Krtap17-1
1036,Krtdap
1037,Ksr1
1038,Lama2
1039,Lama4
1040,Lamb1
1041,Lamc1
1042,Lamc3
1043,Laptm5
1044,Lars2
1045,Lbh
1046,Lbp
1047,Lcn2
1048,Lcp2
1049,Ldb2
1050,Ldhb
1051,Ldlr
1052,Lect1
1053,Lef1
1054,Lepr
1055,Lfng
1056,Lgals1
1057,Lgals3
1058,Lgals3bp
1059,Lgals4
1060,Lgals7
1061,Lgals9
1062,Lgi1
1063,Lgr4
1064,Lgr5
1065,Lgr6
1066,Lhfpl2
1067,Lifr
1068,Lig1
1069,Lima1
1070,Limch1
1071,Lin7a
1072,Lipc
1073,Lix1
1074,Lmcd1
1075,Lmnb1
1076,Lmo1
1077,Lmo2
1078,Lmo7
1079,Lmod1
1080,Lockd
1081,Lox
1082,Loxl1
1083,Loxl2
1084,Loxl3
1085,Loxl4
1086,Lpar3
1087,Lpar4
1088,Lpar6
1089,Lpl
1090,Lrg1
1091,Lrig3
1092,Lrp4
1093,Lrp5
1094,Lrrc15
1095,Lrrc17
1096,Lrrc8a
1097,Lrrn1
1098,Lrrn3
1099,Lrrn4cl
1100,Lsamp
1101,Lsmem1
1102,Lsp1
1103,Lsr
1104,Ltbp1
1105,Ltbp2
1106,Ltbp4
1107,Lum
1108,Lurap1l
1109,Ly6a
1110,Ly6c1
1111,Ly6d
1112,Ly6e
1113,Ly6h
1114,Ly6k
1115,Lypd1
1116,Lyz2
1117,M1ap
1118,Mab21l2
1119,Maf
1120,Mafb
1121,Maff
1122,Mamdc2
1123,Man1a
1124,Man2a1
1125,Maob
1126,Map1b
1127,Marc1
1128,Marcksl1
1129,Marf1
1130,Mark1
1131,Matn1
1132,Matn2
1133,Matn3
1134,Matn4
1135,Mcam
1136,Mcm3
1137,Mcm5
1138,Mcm6
1139,Mdfi
1140,Mdfic
1141,Mdk
1142,Mecom
1143,Medag
1144,Mef2c
1145,Meg3
1146,Megf6
1147,Meis2
1148,Meox1
1149,Meox2
1150,Mepe
1151,Mest
1152,Metrnl
1153,Mettl7a1
1154,Mfap2
1155,Mfap4
1156,Mfap5
1157,Mfge8
1158,Mfi2
1159,Mgll
1160,Mgmt
1161,Mgp
1162,Mgst1
1163,Mgst3
1164,Mia
1165,Mical3
1166,Milr1
1167,Mir143hg
1168,Mirg
1169,Mis18bp1
1170,Mki67
1171,Mkx
1172,Mlf1
1173,Mlip
1174,Mllt3
1175,Mme
1176,Mmp10
1177,Mmp11
1178,Mmp13
1179,Mmp16
1180,Mmp19
1181,Mmp2
1182,Mmp23
1183,Mmp3
1184,Mmp9
1185,Mn1
1186,Mnda
1187,Mndal
1188,Moxd1
1189,Mpdz
1190,Mpp6
1191,Mpped2
1192,Mrap
1193,Mrc2
1194,Mrps6
1195,Ms4a4d
1196,Msc
1197,Msi2
1198,Msmo1
1199,Mstn
1200,Msx1
1201,Msx2
1202,Mt1
1203,Mt2
1204,Mt3
1205,Mtss1
1206,Mustn1
1207,Mxd1
1208,Mxd3
1209,Mxi1
1210,Myc
1211,Myh11
1212,Myl1
1213,Myl9
1214,Mylip
1215,Mylk
1216,Myo10
1217,Myo1b
1218,Myoc
1219,Naalad2
1220,Nav2
1221,Nav3
1222,Nbl1
1223,Ncald
1224,Ncam1
1225,Ncmap
1226,Ndc80
1227,Ndnf
1228,Ndrg1
1229,Ndrg2
1230,Ndufa4l2
1231,Neat1
1232,Nedd9
1233,Nefl
1234,Nefm
1235,Negr1
1236,Nell2
1237,Nes
1238,Net1
1239,Nexn
1240,Nfatc1
1241,Nfatc2
1242,Nfatc4
1243,Nfia
1244,Nfib
1245,Nfil3
1246,Nfkbia
1247,Nfkbie
1248,Nfkbiz
1249,Ngf
1250,Ngfr
1251,Ngp
1252,Nhs
1253,Nid1
1254,Nid2
1255,Nim1k
1256,Ninj1
1257,Ninl
1258,Nkd1
1259,Nkd2
1260,Nnat
1261,Nnmt
1262,Nog
1263,Nol4l
1264,Nos1ap
1265,Notch1
1266,Notch2
1267,Notch3
1268,Notum
1269,Nov
1270,Npnt
1271,Nppc
1272,Npr1
1273,Npr3
1274,Npy
1275,Npy1r
1276,Nr1d1
1277,Nr2f1
1278,Nr2f2
1279,Nr4a1
1280,Nr4a2
1281,Nr4a3
1282,Nrarp
1283,Nrep
1284,Nrgn
1285,Nrip1
1286,Nrip2
1287,Nrk
1288,Nrn1
1289,Nrp1
1290,Nrp2
1291,Nrtn
1292,Nrxn1
1293,Nsg1
1294,Nt5e
1295,Ntf3
1296,Ntm
1297,Ntn1
1298,Ntn4
1299,Ntng1
1300,Ntrk2
1301,Ntrk3
1302,Nuak1
1303,Nuf2
1304,Nupr1
1305,Nusap1
1306,Oasl2
1307,Ociad2
1308,Odc1
1309,Ogn
1310,Olfml1
1311,Olfml2a
1312,Olfml2b
1313,Olfml3
1314,Olfr558
1315,Omd
1316,Ooep
1317,Opcml
1318,Osmr
1319,Osr1
1320,Osr2
1321,Ostn
1322,Otor
1323,Otos
1324,Otud1
1325,P2ry14
1326,P3h2
1327,P4ha2
1328,P4ha3
1329,Palld
1330,Palmd
1331,Pam
1332,Pamr1
1333,Pantr1
1334,Panx3
1335,Pappa
1336,Pappa2
1337,Papss2
1338,Pard6g
1339,Parm1
1340,Parp14
1341,Pawr
1342,Pax1
1343,Pax9
1344,Pbk
1345,Pbx1
1346,Pcdh10
1347,Pcdh11x
1348,Pcdh17
1349,Pcdh18
1350,Pcdh19
1351,Pcdh7
1352,Pcdh9
1353,Pcdhb17
1354,Pcdhb7
1355,Pcdhb9
1356,Pcolce2
1357,Pcp4
1358,Pcp4l1
1359,Pcsk1n
1360,Pcsk5
1361,Pcsk6
1362,Pde10a
1363,Pde1a
1364,Pde2a
1365,Pde3a
1366,Pde4b
1367,Pde5a
1368,Pdgfa
1369,Pdgfc
1370,Pdgfra
1371,Pdgfrb
1372,Pdgfrl
1373,Pdk4
1374,Pdlim1
1375,Pdlim2
1376,Pdlim3
1377,Pdlim4
1378,Pdlim5
1379,Pdpn
1380,Pdzd2
1381,Pdzrn4
1382,Peak1
1383,Pear1
1384,Pecam1
1385,Peg10
1386,Peg3
1387,Peli1
1388,Penk
1389,Per3
1390,Perp
1391,Pf4
1392,Pgam2
1393,Pgf
1394,Pglyrp1
1395,Phactr1
1396,Phactr2
1397,Phex
1398,Phf11d
1399,Phgdh
1400,Phip
1401,Phkg1
1402,Phlda1
1403,Phlda2
1404,Phlda3
1405,Phldb2
1406,Pi15
1407,Pi16
1408,Pid1
1409,Piezo2
1410,Pik3ip1
1411,Pik3r1
1412,Pim1
1413,Pim3
1414,Pitpnc1
1415,Pitx1
1416,Pitx2
1417,Pkdcc
1418,Pla1a
1419,Pla2g16
1420,Pla2g5
1421,Plac8
1422,Plagl1
1423,Plat
1424,Plaur
1425,Plcb1
1426,Plce1
1427,Plekhg2
1428,Plekhh2
1429,Plin2
1430,Plk1
1431,Plk2
1432,Plod2
